Time(ms),Dir,ID,Len,B0,B1,B2,B3,B4,B5,B6,B7,Decoded
2604,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
2812,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3019,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3226,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3433,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3640,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3848,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
4055,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
4262,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
4469,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
4676,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
4883,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
5090,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
5297,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
5504,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
5712,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
5919,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
6126,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
6333,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
6540,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
6747,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
6954,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
7161,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
7368,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
7576,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
7783,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
7990,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
8197,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
8404,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
8611,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
8818,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
9025,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
9232,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
9440,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
9647,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
9854,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
10061,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
10268,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
10475,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
10682,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
10889,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
11096,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
11304,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
11511,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
11718,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
11925,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
12132,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
12339,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
