Time(ms),Dir,ID,Len,B0,B1,B2,B3,B4,B5,B6,B7,Decoded
1612,TX,0x201,3,0x3D,0x3D,0x40,0x64,,,,,"Request register 0x40"
1618,TX,0x201,3,0x3D,0x3D,0x30,0x64,,,,,"Request register 0x30"
1625,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
1632,RX,0x181,6,0x40,0x40,0x00,0x03,0x80,0x00,0x00,,"Status word = 0x0300"
1722,RX,0x181,4,0x30,0x30,0x00,0x00,0x01,,,,"Speed feedback = 0 rpm"
1729,RX,0x181,6,0x40,0x40,0x00,0x03,0x80,0x00,0x0B,,"Status word = 0x0300"
1836,TX,0x201,3,0x3D,0x3D,0xEB,0x00,,,,,"Request register 0xEB"
2043,TX,0x201,3,0x8E,0x8E,0x00,0x00,,,,,"Clear all error flags"
2250,TX,0x201,3,0xD0,0xD0,0xD0,0x07,,,,,"Set CAN timeout = 2000 ms"
2456,TX,0x201,3,0x8E,0x8E,0x00,0x00,,,,,"Clear all error flags"
2563,TX,0x201,3,0x51,0x51,0x04,0x00,,,,,"Lock/Disable drive"
2670,TX,0x201,3,0x51,0x51,0x00,0x00,,,,,"Enable drive"
2677,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3184,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque = 0"
3690,RX,0x181,6,0x40,0x40,0x11,0x43,0x80,0x00,0x0B,,"Status word = 0x4311"
3697,RX,0x181,4,0x30,0x30,0x00,0x00,0x01,,,,"Speed feedback = 0 rpm"
3704,RX,0x181,6,0x40,0x40,0x11,0x43,0x80,0x00,0x0B,,"Status word = 0x4311"
3711,RX,0x181,6,0x40,0x40,0x11,0x43,0x80,0x00,0x0B,,"Status word = 0x4311"
3718,RX,0x181,4,0x30,0x30,0x00,0x00,0x01,,,,"Speed feedback = 0 rpm"
3725,RX,0x181,4,0x30,0x30,0x00,0x00,0x01,,,,"Speed feedback = 0 rpm"
3732,TX,0x201,3,0x90,0x90,0xA1,0x02,,,,,"Set torque = 673"
3758,TX,0x201,3,0x90,0x90,0x59,0x03,,,,,"Set torque = 857"
3784,TX,0x201,3,0x90,0x90,0xD3,0x03,,,,,"Set torque = 979"
3808,RX,0x181,6,0x40,0x40,0x11,0x43,0x80,0x00,0x0B,,"Status word = 0x4311"
3815,TX,0x201,3,0x90,0x90,0x3A,0x03,,,,,"Set torque = 826"
3822,RX,0x181,4,0x30,0x30,0x00,0x00,0x01,,,,"Speed feedback = 0 rpm"
3842,TX,0x201,3,0x90,0x90,0x45,0x02,,,,,"Set torque = 581"
3868,TX,0x201,3,0x90,0x90,0xC0,0x02,,,,,"Set torque = 704"
3960,RX,0x181,6,0x40,0x40,0x11,0x43,0x80,0x00,0x0B,,"Status word = 0x4311"
3967,RX,0x181,4,0x30,0x30,0x00,0x00,0x01,,,,"Speed feedback = 0 rpm"
3980,TX,0x201,3,0x90,0x90,0xC0,0x02,,,,,"Set torque = 704"
4006,TX,0x201,3,0x90,0x90,0x59,0x03,,,,,"Set torque = 857"
4012,RX,0x181,6,0x40,0x40,0x11,0x43,0x80,0x00,0x0B,,"Status word = 0x4311"
4019,RX,0x181,4,0x30,0x30,0x00,0x00,0x01,,,,"Speed feedback = 0 rpm"
4032,TX,0x201,3,0x90,0x90,0xA1,0x02,,,,,"Set torque = 673"
4058,TX,0x201,3,0x90,0x90,0x8E,0x01,,,,,"Set torque = 398"
4084,TX,0x201,3,0x90,0x90,0x59,0x03,,,,,"Set torque = 857"
4107,RX,0x181,6,0x40,0x40,0x11,0x43,0x80,0x00,0x0B,,"Status word = 0x4311"
4114,TX,0x201,3,0x90,0x90,0x64,0x02,,,,,"Set torque = 612"
4121,RX,0x181,4,0x30,0x30,0x00,0x00,0x01,,,,"Speed feedback = 0 rpm"
4141,TX,0x201,3,0x90,0x90,0x08,0x02,,,,,"Set torque = 520"
4167,TX,0x201,3,0x90,0x90,0x3A,0x03,,,,,"Set torque = 826"
4193,TX,0x201,3,0x90,0x90,0x1C,0x03,,,,,"Set torque = 796"
4207,RX,0x181,6,0x40,0x40,0x11,0x43,0x80,0x00,0x0B,,"Status word = 0x4311"
4214,RX,0x181,4,0x30,0x30,0x00,0x00,0x01,,,,"Speed feedback = 0 rpm"
4221,TX,0x201,3,0x90,0x90,0x50,0x01,,,,,"Set torque = 336"
4248,TX,0x201,3,0x90,0x90,0xC0,0x02,,,,,"Set torque = 704"
4274,TX,0x201,3,0x90,0x90,0xDE,0x02,,,,,"Set torque = 734"
4300,TX,0x201,3,0x90,0x90,0xC0,0x02,,,,,"Set torque = 704"
4307,RX,0x181,6,0x40,0x40,0x11,0x43,0x80,0x00,0x0B,,"Status word = 0x4311"
4314,RX,0x181,4,0x30,0x30,0x00,0x00,0x01,,,,"Speed feedback = 0 rpm"
4326,TX,0x201,3,0x90,0x90,0xA1,0x02,,,,,"Set torque = 673"
4419,RX,0x181,6,0x40,0x40,0x11,0x43,0x80,0x00,0x0B,,"Status word = 0x4311"
4426,RX,0x181,4,0x30,0x30,0x00,0x00,0x01,,,,"Speed feedback = 0 rpm"
4439,TX,0x201,3,0x90,0x90,0x27,0x02,,,,,"Set torque = 551"
4465,TX,0x201,3,0x90,0x90,0x27,0x02,,,,,"Set torque = 551"
4491,TX,0x201,3,0x90,0x90,0x27,0x02,,,,,"Set torque = 551"
4507,RX,0x181,6,0x40,0x40,0x11,0x43,0x80,0x00,0x0B,,"Status word = 0x4311"
4514,RX,0x181,4,0x30,0x30,0x00,0x00,0x01,,,,"Speed feedback = 0 rpm"
4520,TX,0x201,3,0x90,0x90,0xFD,0x02,,,,,"Set torque = 765"
4547,TX,0x201,3,0x90,0x90,0xC0,0x02,,,,,"Set torque = 704"
4574,TX,0x201,3,0x90,0x90,0x45,0x02,,,,,"Set torque = 581"
4600,TX,0x201,3,0x90,0x90,0x6D,0x04,,,,,"Set torque = 1133"
4607,RX,0x181,6,0x40,0x40,0x11,0x43,0x80,0x00,0x0B,,"Status word = 0x4311"
4614,RX,0x181,4,0x30,0x30,0x00,0x00,0x01,,,,"Speed feedback = 0 rpm"
4626,TX,0x201,3,0x90,0x90,0x83,0x02,,,,,"Set torque = 643"
4652,TX,0x201,3,0x90,0x90,0x83,0x02,,,,,"Set torque = 643"
4678,TX,0x201,3,0x90,0x90,0x11,0x04,,,,,"Set torque = 1041"
4704,TX,0x201,3,0x90,0x90,0xFD,0x02,,,,,"Set torque = 765"
4710,RX,0x181,6,0x40,0x40,0x11,0x43,0x80,0x00,0x0B,,"Status word = 0x4311"
4717,RX,0x181,4,0x30,0x30,0x00,0x00,0x01,,,,"Speed feedback = 0 rpm"
4730,TX,0x201,3,0x90,0x90,0x59,0x03,,,,,"Set torque = 857"
4756,TX,0x201,3,0x90,0x90,0x45,0x02,,,,,"Set torque = 581"
4782,TX,0x201,3,0x90,0x90,0x3A,0x03,,,,,"Set torque = 826"
4806,RX,0x181,6,0x40,0x40,0x11,0x43,0x80,0x00,0x0B,,"Status word = 0x4311"
4813,TX,0x201,3,0x90,0x90,0xDE,0x02,,,,,"Set torque = 734"
4907,RX,0x181,4,0x30,0x30,0x00,0x00,0x01,,,,"Speed feedback = 0 rpm"
4913,RX,0x181,4,0x30,0x30,0x00,0x00,0x01,,,,"Speed feedback = 0 rpm"
4920,RX,0x181,6,0x40,0x40,0x11,0x43,0x80,0x00,0x0B,,"Status word = 0x4311"
4927,TX,0x201,3,0x90,0x90,0xC0,0x02,,,,,"Set torque = 704"
4954,TX,0x201,3,0x90,0x90,0x1C,0x03,,,,,"Set torque = 796"
4980,TX,0x201,3,0x90,0x90,0x83,0x02,,,,,"Set torque = 643"
5006,TX,0x201,3,0x90,0x90,0x83,0x02,,,,,"Set torque = 643"
5012,RX,0x181,6,0x40,0x40,0x11,0x43,0x80,0x00,0x0B,,"Status word = 0x4311"
5019,RX,0x181,4,0x30,0x30,0x00,0x00,0x01,,,,"Speed feedback = 0 rpm"
5032,TX,0x201,3,0x90,0x90,0x3A,0x03,,,,,"Set torque = 826"
5058,TX,0x201,3,0x90,0x90,0x83,0x02,,,,,"Set torque = 643"
5084,TX,0x201,3,0x90,0x90,0xFD,0x02,,,,,"Set torque = 765"
5106,RX,0x181,6,0x40,0x40,0x11,0x43,0x80,0x00,0x0B,,"Status word = 0x4311"
5113,TX,0x201,3,0x90,0x90,0xDE,0x02,,,,,"Set torque = 734"
5119,RX,0x181,4,0x30,0x30,0x00,0x00,0x01,,,,"Speed feedback = 0 rpm"
5139,TX,0x201,3,0x90,0x90,0xFD,0x02,,,,,"Set torque = 765"
5165,TX,0x201,3,0x90,0x90,0x08,0x02,,,,,"Set torque = 520"
5191,TX,0x201,3,0x90,0x90,0xC0,0x02,,,,,"Set torque = 704"
5206,RX,0x181,6,0x40,0x40,0x11,0x43,0x80,0x00,0x0B,,"Status word = 0x4311"
5213,RX,0x181,4,0x30,0x30,0x00,0x00,0x01,,,,"Speed feedback = 0 rpm"
5219,TX,0x201,3,0x90,0x90,0x45,0x02,,,,,"Set torque = 581"
5247,TX,0x201,3,0x90,0x90,0xDE,0x02,,,,,"Set torque = 734"
5273,TX,0x201,3,0x90,0x90,0xFD,0x02,,,,,"Set torque = 765"
5299,TX,0x201,3,0x90,0x90,0xC0,0x02,,,,,"Set torque = 704"
5392,RX,0x181,6,0x40,0x40,0x11,0x43,0x80,0x00,0x0B,,"Status word = 0x4311"
5399,RX,0x181,4,0x30,0x30,0x00,0x00,0x01,,,,"Speed feedback = 0 rpm"
5406,RX,0x181,6,0x40,0x40,0x11,0x43,0x80,0x00,0x0B,,"Status word = 0x4311"
