Time(ms),Dir,ID,Len,B0,B1,B2,B3,B4,B5,B6,B7,Decoded
2359,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
2567,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
2775,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
2982,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3189,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3396,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3603,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3810,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
4017,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
4224,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
4431,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
4639,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
4846,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
5053,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
5260,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
5467,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
5674,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
5881,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
6088,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
6295,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
6503,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
6710,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
6917,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
7124,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
7331,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
7538,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
7745,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
7952,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
8161,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
8369,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
8576,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
8783,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
8990,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
9197,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
