Time(ms),Dir,ID,Len,B0,B1,B2,B3,B4,B5,B6,B7,Decoded
50633,TX,0x201,3,0x3D,0x3D,0x40,0x64,,,,,"Request register 0x40"
50640,TX,0x201,3,0x3D,0x3D,0x30,0x64,,,,,"Request register 0x30"
50647,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
50654,RX,0x181,6,0x40,0x40,0x10,0x03,0x80,0x00,0x00,,"Status word = 0x0310"
50661,RX,0x181,6,0x40,0x40,0x10,0x03,0x80,0x00,0x0B,,"Status word = 0x0310"
50667,RX,0x181,6,0x40,0x40,0x10,0x03,0x80,0x00,0x0B,,"Status word = 0x0310"
50674,RX,0x181,6,0x40,0x40,0x10,0x03,0x80,0x00,0x0B,,"Status word = 0x0310"
50781,TX,0x201,3,0x3D,0x3D,0xEB,0x00,,,,,"Request register 0xEB"
50988,TX,0x201,3,0x8E,0x8E,0x00,0x00,,,,,"Clear all error flags"
51195,TX,0x201,3,0xD0,0xD0,0xD0,0x07,,,,,"Set CAN timeout = 2000 ms"
51402,TX,0x201,3,0x8E,0x8E,0x00,0x00,,,,,"Clear all error flags"
51509,TX,0x201,3,0x51,0x51,0x04,0x00,,,,,"Lock/Disable drive"
51616,TX,0x201,3,0x51,0x51,0x00,0x00,,,,,"Enable drive"
51623,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
52129,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque = 0"
52636,RX,0x181,4,0x30,0x30,0x00,0x00,0x01,,,,"Speed feedback = 0 rpm"
52643,RX,0x181,4,0x30,0x30,0x00,0x00,0x01,,,,"Speed feedback = 0 rpm"
52650,RX,0x181,6,0x40,0x40,0x11,0x43,0x80,0x00,0x0B,,"Status word = 0x4311"
52657,RX,0x181,6,0x40,0x40,0x11,0x43,0x80,0x00,0x0B,,"Status word = 0x4311"
52664,RX,0x181,4,0x30,0x30,0x00,0x00,0x01,,,,"Speed feedback = 0 rpm"
52671,RX,0x181,6,0x40,0x40,0x11,0x43,0x80,0x00,0x0B,,"Status word = 0x4311"
52678,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque = 0"
52704,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque = 0"
52730,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque = 0"
52736,RX,0x181,4,0x30,0x30,0x00,0x00,0x01,,,,"Speed feedback = 0 rpm"
52744,RX,0x181,6,0x40,0x40,0x11,0x43,0x80,0x00,0x0B,,"Status word = 0x4311"
52756,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque = 0"
52782,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque = 0"
52808,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque = 0"
52835,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque = 0"
52841,RX,0x181,4,0x30,0x30,0x00,0x00,0x01,,,,"Speed feedback = 0 rpm"
52848,RX,0x181,6,0x40,0x40,0x11,0x43,0x80,0x00,0x0B,,"Status word = 0x4311"
52861,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque = 0"
52887,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque = 0"
52913,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque = 0"
52936,RX,0x181,4,0x30,0x30,0x00,0x00,0x01,,,,"Speed feedback = 0 rpm"
52943,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque = 0"
52950,RX,0x181,6,0x40,0x40,0x11,0x43,0x80,0x00,0x0B,,"Status word = 0x4311"
52970,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque = 0"
52996,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque = 0"
53022,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque = 0"
53036,RX,0x181,4,0x30,0x30,0x00,0x00,0x01,,,,"Speed feedback = 0 rpm"
53044,RX,0x181,6,0x40,0x40,0x11,0x43,0x80,0x00,0x0B,,"Status word = 0x4311"
53051,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque = 0"
53078,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque = 0"
53104,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque = 0"
53130,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque = 0"
53137,RX,0x181,4,0x30,0x30,0x00,0x00,0x01,,,,"Speed feedback = 0 rpm"
53144,RX,0x181,6,0x40,0x40,0x11,0x43,0x80,0x00,0x0B,,"Status word = 0x4311"
53157,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque = 0"
53183,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque = 0"
53209,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque = 0"
53235,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque = 0"
53261,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque = 0"
53287,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque = 0"
53313,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque = 0"
53340,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque = 0"
53366,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque = 0"
53392,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque = 0"
53418,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque = 0"
53444,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque = 0"
53470,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque = 0"
53496,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque = 0"
53522,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque = 0"
53548,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque = 0"
53575,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque = 0"
53601,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque = 0"
53627,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque = 0"
53653,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque = 0"
53679,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque = 0"
53705,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque = 0"
53731,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque = 0"
53757,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque = 0"
53783,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque = 0"
53810,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque = 0"
53836,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque = 0"
53862,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque = 0"
53888,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque = 0"
53914,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque = 0"
53940,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque = 0"
53966,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque = 0"
53992,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque = 0"
