Time(ms),Dir,ID,Len,B0,B1,B2,B3,B4,B5,B6,B7,Decoded
2562,TX,0x201,3,0x3D,0x3D,0x40,0x64,,,,,"Request register 0x40"
2569,TX,0x201,3,0x3D,0x3D,0x30,0x64,,,,,"Request register 0x30"
2576,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
2683,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
2790,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
2896,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3003,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3110,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3217,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3324,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3430,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3537,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3644,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3751,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3858,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3965,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
4071,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
4178,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
4285,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
4392,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
4499,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
4606,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
4712,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
4819,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
4926,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
5033,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
5139,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
5246,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
5353,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
5460,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
5567,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
5674,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
5780,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
5887,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
5994,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
6101,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
6208,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
6314,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
6421,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
