Time(ms),Dir,ID,Len,B0,B1,B2,B3,B4,B5,B6,B7,Decoded
2756,TX,0x201,3,0x3D,0x3D,0x40,0x64,,,,,"Request register 0x40"
2763,TX,0x201,3,0x3D,0x3D,0x30,0x64,,,,,"Request register 0x30"
2770,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
2877,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
2984,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3090,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3197,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3304,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3411,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3518,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3624,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3731,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3838,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3945,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
4052,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
4159,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
4265,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
4372,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
4479,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
4586,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
4693,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
4800,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
4906,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
5013,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
5120,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
5227,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
5333,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
5440,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
5547,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
5654,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
5761,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
5868,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
5974,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
6081,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
6188,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
6295,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
6402,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
6508,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
6616,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
6622,RX,0x181,6,0x40,0x40,0x00,0x01,0x80,0x44,0x00,,"Status word = 0x0100"
6729,TX,0x201,3,0x3D,0x3D,0xEB,0x00,,,,,"Request register 0xEB"
6936,TX,0x201,3,0x8E,0x8E,0x00,0x00,,,,,"Clear all error flags"
7143,TX,0x201,3,0xD0,0xD0,0xD0,0x07,,,,,"Set CAN timeout = 2000 ms"
7349,TX,0x201,3,0x8E,0x8E,0x00,0x00,,,,,"Clear all error flags"
7456,TX,0x201,3,0x51,0x51,0x04,0x00,,,,,"Lock/Disable drive"
7563,TX,0x201,3,0x51,0x51,0x00,0x00,,,,,"Enable drive"
7570,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
8077,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque = 0"
