Time(ms),Dir,ID,Len,B0,B1,B2,B3,B4,B5,B6,B7,Decoded
1162,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
1369,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
1576,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
1783,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
1990,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
2197,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
2404,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
2611,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
2818,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3025,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3232,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3439,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3646,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3947,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
4154,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
4361,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
4568,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
4775,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
4982,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
5189,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
5396,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
5603,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
