Time(ms),Dir,ID,Len,B0,B1,B2,B3,B4,B5,B6,B7,Decoded
1766,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
1974,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
2181,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
2388,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
2595,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
2802,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3010,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3217,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3424,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3710,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3917,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
4124,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
4331,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
4538,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
4745,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
4953,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
5160,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
5367,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
5574,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
5781,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
5988,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
6195,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
6402,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
6609,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
6817,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
7024,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
7231,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
7438,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
7645,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
7852,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
8059,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
8266,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
8473,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
8759,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
8966,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
9173,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
9380,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
9587,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
9794,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
10001,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
10208,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
10415,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
10623,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
10830,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
11037,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
11244,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
11451,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
11658,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
11865,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
12072,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
12279,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
12487,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
12694,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
12901,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
13108,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
13315,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
13522,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
13807,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
14014,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
14221,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
14429,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
14636,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
14843,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
15050,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
15257,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
15464,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
15671,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
15878,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
16085,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
16293,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
16500,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
16707,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
16914,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
17121,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
17328,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
17535,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
17742,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
17949,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
18157,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
18364,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
18571,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
18859,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
19066,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
19273,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
19480,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
