Time(ms),Dir,ID,Len,B0,B1,B2,B3,B4,B5,B6,B7,Decoded
1026,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
1234,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
1441,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
1648,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
1856,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
2063,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
2270,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
2527,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
2734,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
2941,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3148,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3355,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3562,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3770,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3977,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
4184,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
4391,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
4598,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
4805,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
5012,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
5219,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
5426,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
5634,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
5841,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
6048,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
6255,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
6462,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
6669,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
6876,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
7083,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
7290,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
7579,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
7786,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
7993,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
8200,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
8407,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
