Time(ms),Dir,ID,Len,B0,B1,B2,B3,B4,B5,B6,B7,Decoded
1470,TX,0x201,3,0x3D,0x3D,0x40,0x64,,,,,"Request register 0x40"
1477,TX,0x201,3,0x3D,0x3D,0x30,0x64,,,,,"Request register 0x30"
1483,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
1490,RX,0x181,6,0x40,0x40,0x00,0x43,0x80,0x00,0x00,,"Status word = 0x4300"
1580,RX,0x181,4,0x30,0x30,0x00,0x00,0x01,,,,"Speed feedback = 0 rpm"
1587,RX,0x181,6,0x40,0x40,0x00,0x43,0x80,0x00,0x0B,,"Status word = 0x4300"
1694,TX,0x201,3,0x3D,0x3D,0xEB,0x00,,,,,"Request register 0xEB"
1901,TX,0x201,3,0x8E,0x8E,0x00,0x00,,,,,"Clear all error flags"
2108,TX,0x201,3,0xD0,0xD0,0xD0,0x07,,,,,"Set CAN timeout = 2000 ms"
2314,TX,0x201,3,0x8E,0x8E,0x00,0x00,,,,,"Clear all error flags"
2421,TX,0x201,3,0x51,0x51,0x04,0x00,,,,,"Lock/Disable drive"
2528,TX,0x201,3,0x51,0x51,0x00,0x00,,,,,"Enable drive"
2535,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3042,TX,0x201,3,0x90,0x90,0x00,0x00,,,,,"Set torque = 0"
3549,RX,0x181,6,0x40,0x40,0x00,0x43,0x80,0x00,0x0B,,"Status word = 0x4300"
3555,RX,0x181,4,0x30,0x30,0x00,0x00,0x01,,,,"Speed feedback = 0 rpm"
3563,RX,0x181,6,0x40,0x40,0x00,0x43,0x80,0x00,0x0B,,"Status word = 0x4300"
3569,RX,0x181,6,0x40,0x40,0x00,0x43,0x80,0x00,0x0B,,"Status word = 0x4300"
3576,RX,0x181,4,0x30,0x30,0x00,0x00,0x01,,,,"Speed feedback = 0 rpm"
3583,RX,0x181,4,0x30,0x30,0x00,0x00,0x01,,,,"Speed feedback = 0 rpm"
3590,TX,0x201,3,0x90,0x90,0x1C,0x03,,,,,"Set torque = 796"
3617,TX,0x201,3,0x90,0x90,0xDE,0x02,,,,,"Set torque = 734"
3643,TX,0x201,3,0x90,0x90,0x64,0x02,,,,,"Set torque = 612"
3666,RX,0x181,6,0x40,0x40,0x00,0x43,0x80,0x00,0x0B,,"Status word = 0x4300"
3673,TX,0x201,3,0x90,0x90,0x08,0x02,,,,,"Set torque = 520"
3680,RX,0x181,4,0x30,0x30,0x00,0x00,0x01,,,,"Speed feedback = 0 rpm"
3700,TX,0x201,3,0x90,0x90,0x59,0x03,,,,,"Set torque = 857"
3726,TX,0x201,3,0x90,0x90,0xA1,0x02,,,,,"Set torque = 673"
3815,RX,0x181,6,0x40,0x40,0x00,0x43,0x80,0x00,0x0B,,"Status word = 0x4300"
3822,RX,0x181,4,0x30,0x30,0x00,0x00,0x01,,,,"Speed feedback = 0 rpm"
3835,TX,0x201,3,0x90,0x90,0x64,0x02,,,,,"Set torque = 612"
3861,TX,0x201,3,0x90,0x90,0xA1,0x02,,,,,"Set torque = 673"
3867,RX,0x181,6,0x40,0x40,0x00,0x43,0x80,0x00,0x0B,,"Status word = 0x4300"
3874,RX,0x181,4,0x30,0x30,0x00,0x00,0x01,,,,"Speed feedback = 0 rpm"
3887,TX,0x201,3,0x90,0x90,0x45,0x02,,,,,"Set torque = 581"
3913,TX,0x201,3,0x90,0x90,0xA1,0x02,,,,,"Set torque = 673"
3939,TX,0x201,3,0x90,0x90,0x3A,0x03,,,,,"Set torque = 826"
3965,TX,0x201,3,0x90,0x90,0x8E,0x01,,,,,"Set torque = 398"
3971,RX,0x181,6,0x40,0x40,0x00,0x43,0x80,0x00,0x0B,,"Status word = 0x4300"
3978,RX,0x181,4,0x30,0x30,0x00,0x00,0x01,,,,"Speed feedback = 0 rpm"
3991,TX,0x201,3,0x90,0x90,0xCB,0x01,,,,,"Set torque = 459"
4017,TX,0x201,3,0x90,0x90,0x3A,0x03,,,,,"Set torque = 826"
4043,TX,0x201,3,0x90,0x90,0x3A,0x03,,,,,"Set torque = 826"
4066,RX,0x181,6,0x40,0x40,0x00,0x43,0x80,0x00,0x0B,,"Status word = 0x4300"
4073,TX,0x201,3,0x90,0x90,0x78,0x03,,,,,"Set torque = 888"
4079,RX,0x181,4,0x30,0x30,0x00,0x00,0x01,,,,"Speed feedback = 0 rpm"
4099,TX,0x201,3,0x90,0x90,0xDE,0x02,,,,,"Set torque = 734"
4125,TX,0x201,3,0x90,0x90,0x27,0x02,,,,,"Set torque = 551"
4151,TX,0x201,3,0x90,0x90,0xA1,0x02,,,,,"Set torque = 673"
4165,RX,0x181,6,0x40,0x40,0x00,0x43,0x80,0x00,0x0B,,"Status word = 0x4300"
4172,RX,0x181,4,0x30,0x30,0x00,0x00,0x01,,,,"Speed feedback = 0 rpm"
4179,TX,0x201,3,0x90,0x90,0xFD,0x02,,,,,"Set torque = 765"
