Time(ms),Dir,ID,Len,B0,B1,B2,B3,B4,B5,B6,B7,Decoded
2353,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
2561,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
2768,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
2975,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3182,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3390,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3597,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3804,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
4011,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
4218,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
4425,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
4632,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
4839,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
5046,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
5254,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
5461,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
5668,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
5954,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
6161,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
6368,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
