Time(ms),Dir,ID,Len,B0,B1,B2,B3,B4,B5,B6,B7,Decoded
954,TX,0x201,3,0x3D,0x3D,0x40,0x64,,,,,"Request register 0x40"
961,TX,0x201,3,0x3D,0x3D,0x30,0x64,,,,,"Request register 0x30"
967,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
1273,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
1580,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
1886,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
2192,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
2499,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
2806,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3112,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3418,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3807,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
4113,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
4420,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
4726,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
5032,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
5338,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
5645,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
5951,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
6257,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
6563,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
6870,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
