Time(ms),Dir,ID,Len,B0,B1,B2,B3,B4,B5,B6,B7,Decoded
1632,TX,0x201,3,0x3D,0x3D,0x40,0x64,,,,,"Request register 0x40"
1638,TX,0x201,3,0x3D,0x3D,0x30,0x64,,,,,"Request register 0x30"
1644,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
1801,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
1907,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
2013,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
2120,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
2226,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
2332,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
2438,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
2545,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
2651,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
2757,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
2864,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
2970,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3076,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3182,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3289,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3395,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3501,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3607,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3714,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3820,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3926,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
4033,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
4139,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
4245,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
4436,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
4542,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
4648,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
4755,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
4861,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
4967,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
5073,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
5180,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
5286,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
5392,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
5498,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
5604,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
5711,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
5817,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
5924,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
6030,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
6136,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
6242,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
6348,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
6455,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
6561,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
6668,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
6774,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
6880,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
7077,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
7184,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
7290,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
7396,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
7502,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
7609,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
7715,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
7821,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
7928,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
8034,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
8140,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
8246,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
8353,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
8459,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
8565,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
8672,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
8778,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
8884,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
8990,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
9097,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
9203,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
9309,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
9415,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
9522,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
9720,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
9826,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
9933,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
10039,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
10145,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
10251,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
10358,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
