Time(ms),Dir,ID,Len,B0,B1,B2,B3,B4,B5,B6,B7,Decoded
1626,TX,0x201,3,0x3D,0x3D,0x40,0x64,,,,,"Request register 0x40"
1682,TX,0x201,3,0x3D,0x3D,0x30,0x64,,,,,"Request register 0x30"
1688,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
1795,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
1901,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
2007,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
2113,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
2220,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
2326,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
2432,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
2538,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
2645,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
2751,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
2857,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
2963,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3070,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3176,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3282,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3389,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
3495,TX,0x201,3,0x3D,0x3D,0x40,0x00,,,,,"Request register 0x40"
